GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3128600E3784600;C200M;A;59183;87;39;3;9;1;39;3;2280985.8;3843;0;39;0;0;39;10;35
CRS3035RES200mN3128800E3784600;C200M;A;59183;260.5;111;13;23;6;96;12;6165103.1;9737;0;111;2;0;111;50.5;73
CRS3035RES200mN3129000E3785200;C200M;A;59183;229.5;111;46;45;4;41;25;3891276.1;8253;64;47;66;0;111;60.5;38
CRS3035RES200mN3129400E3785200;C200M;A;59183;247;102;27;29;8;43;22;4862781.5;8318;45;57;22;0;102;69;28
CRS3035RES200mN3129000E3785000;C200M;A;59183;454.5;179;58;47;21;75;30;7872754.2;14680;63;116;87;1;179;130.5;65
CRS3035RES200mN3129200E3785200;C200M;A;59183;271.5;100;18;24;14;47;10;5269991.2;8337;16;84;17;0;100;76.5;45
CRS3035RES200mN3129600E3785400;C200M;A;59183;174;89;21;43;5;45;7;3423783;6690;35;54;2;0;89;35;31
CRS3035RES200mN3129600E3785200;C200M;A;59183;317.5;142;31;63;13;87;13;6488215.3;11817;45;97;29;0;142;80.5;41
CRS3035RES200mN3129400E3785000;C200M;A;59183;191.5;91;28;35;4;22;9;3649618.2;6484;48;43;59;0;91;33.5;45
CRS3035RES200mN3129800E3785200;C200M;A;59183;444.5;189;54;79;18;85;29;8105513.4;15047;88;101;34;2;189;120;60
CRS3035RES200mN3129800E3785000;C200M;A;59183;254;103;21;29;6;65;8;5020561.9;9225;19;84;5;0;103;59;42
CRS3035RES200mN3129600E3785000;C200M;A;59183;352.5;146;32;48;15;80;21;7374926.7;12633;48;98;54;0;146;93.5;46
CRS3035RES200mN3129200E3785000;C200M;A;59183;298.5;116;21;33;9;80;12;6251705.2;9570;24;92;27;0;116;79.5;48
CRS3035RES200mN3129000E3784800;C200M;A;59183;198.5;87;8;19;5;76;10;4425910.4;7881;0;87;2;0;87;29.5;69
CRS3035RES200mN3129200E3784800;C200M;A;59183;166.5;73;6;22;2;60;2;4188079.2;7111;11;62;3;0;73;33.5;40
CRS3035RES200mN3129000E3784600;C200M;A;59183;188.5;82;22;17;2;44;16;3649847.5;6717;32;50;32;0;82;45.5;43
CRS3035RES200mN3129400E3784800;C200M;A;59183;244.5;88;32;14;8;35;17;4501554.1;6929;47;41;48;0;88;66.5;23
CRS3035RES200mN3129600E3784800;C200M;A;59183;119.5;50;7;10;2;34;4;2746167.5;4517;12;38;11;0;50;20.5;21
CRS3035RES200mN3129400E3784600;C200M;I;59183;23;9.9;2.5;0.8;0;7.4;1.6;421017;765.6;1.7;8.2;0;0;9.9;4.9;3.3
CRS3035RES200mN3129600E3784600;C200M;A;59183;342;190;85;101;8;1;38;5309693.8;13913;190;0;151;0;190;80;68
CRS3035RES200mN3128600E3784400;C200M;A;59183;152;74;6;28;2;68;3;3618187.8;6826;0;74;4;0;74;27;61
